sentence,SOCIAL_LABEL,GRI_LABEL
Đó chính là sự minh chứng sinh động và rõ nét nhất của một thương hiệu vững tin tiến bước trước mọi biến chuyển của thị trường.,U,
"Năm 2022, TNG chọn chủ đề Báo cáo thường niên với thông điệp “Đón đầu xu thế, Mở cửa cơ hội”, tiếp tục phát huy thế mạnh, không ngừng nỗ lực để hội nhập sâu và rộng hơn trên thị trường quốc tế.",S,GRI407
"Song song đó, TNG cũng tiếp tục thực thi chính sách cam kết sự phát triển Xanh cho môi trường và điều này sẽ được chúng tôi trình bày nội dung chi tiết hơn trong Báo cáo Phát triển doanh nghiệp bền vững của TNG 2022.",U,
Là Công ty sản xuất và bán lẻ từ thị trường trong nước đến thị trường toàn cầu có doanh thu tiêu thụ tỷ đô la Mỹ.,S,GRI419
Chịu trách nhiệm tuyệt đối cho tất cả các sản phẩm cung cấp đến tay người tiêu dùng.,S,GRI402
"Mang lại hạnh phúc cho người lao động, khách hàng và cộng đồng dân cư.",S,GRI413-1
TẦM NHÌN SỨ MỆNH Chúng tôi cam kết đảm bảo lợi ích dài hạn đa chiều trong hoạt động với khách hàng và các bên có liên quan.,S,GRI402
"GIÁ TRỊ CỐT LÕI Thực hiện đạo đức kinh doanh trong công việc, đảm bảo mọi chế độ, quyền lợi của người lao động theo đúng quy định của pháp luật.",S,GRI401
Nơi xứng đáng để cống hiến và làm việc.,S,GRI401-2
"Vì một màu xanh TNG, chúng tôi chú trọng mọi hoạt động liên quan đến đời sống người lao động, cộng đồng địa phương.",S,GRI402
Thực hiện phương châm hành động: “Phát triển kinh tế đi đôi với bảo vệ môi trường”.,S,GRI419
TRÁCH NHIỆM PHÁT TRIỂN TƯƠNG LAI XANH MÔI TRƯỜNG LÀM VIỆC PHÁT TRIỂN BỀN VỮNG 10 11 12 13 LỜI CAM KẾT CỦA TNG Cung cấp cho khách hàng những sản phẩm đạt tiêu chuẩn.,U,
"Chất lượng sản phẩm tốt, giá cả cạnh tranh và giao hàng đúng thời hạn.",U,
Bảo vệ quyền lợi khách hàng về thương hiệu và nhãn hiệu hàng hóa.,S,GRI412-2
"Đảm bảo uy tín, tôn trọng khách hàng.",S,GRI418
"Cam kết thời gian sản xuất, năng lực với khách hàng.",S,GRI404-3
Cam kết thời gian giao hàng.,S,GRI402
"Cam kết chống tiêu cực, hối lộ trong sản xuất kinh doanh.",U,
Hài hòa lợi ích doanh nghiệp với lợi ích xã hội.,S,GRI419
"Tham gia các hoạt động cộng đồng, an sinh xã hội.",S,GRI413-1
Sản xuất đi đôi với bảo vệ môi trường.,S,GRI419
Thể hiện trách nhiệm với cộng đồng.,S,GRI413-1
KHÁCH HÀNG CỘNG ĐỒNG Người lao động làm việc tại TNG không bị vi phạm quyền lợi theo quy định của pháp luật.,S,GRI401-2
Mọi quyền lợi của người lao động làm việc tại TNG theo Bộ Luật Lao động đều được đảm bảo.,S,GRI401-2
"Công khai, minh bạch, công bằng mọi thông tin liên quan đến hoạt động kinh doanh.",S,GRI402
Tối đa hóa giá trị và lợi ích cho cổ đông.,S,GRI402
"Phát triển bền vững, kinh doanh hiệu quả và uy tín trên thị trường.",S,GRI404-3
Đề cao tinh thần hợp tác cùng phát triển.,S,GRI404
Kính thưa Quý vị !,S,GRI419
Một năm đã qua đi với sự chứng kiến những bước đi chậm lại của nền kinh tế toàn cầu khi ảnh hưởng của đại dịch Covid - 19 vẫn còn để lại nhiều gánh nặng.,U,
"Sự linh hoạt chuyển đổi, đón đầu xu thế là những bước đi đúng đắn giúp TNG tạo nên sự bứt phá ngoạn mục trên hành trình mở rộng thị trường xuất khẩu và khai phá những thị trường mới đầy tiềm năng.",U,
"Cũng nhờ sự phát triển của công nghệ thông tin trong thời kỳ công nghiệp 4.0, sự gắn kết với thị trường, khách hàng tiềm năng cũng sẽ được cải thiện.",S,GRI413-1
"Tự động hóa với các giải pháp công nghệ tiên tiến sẽ giúp TNG cải thiện năng lực cạnh tranh, tiếp cận nhanh hơn, sâu rộng với thị trường toàn cầu.",S,GRI403
"Năm 2023, với mục tiêu định hướng rõ ràng cùng sự thích ứng linh hoạt để tiếp cận thị trường trong tình hình mới.",U,
"Chúng tôi luôn tự đặt cho chính mình áp lực mới, xây dựng những kế hoạch lớn hơn, mở tầm nhìn xa hơn và chuẩn bị kỹ lưỡng hơn cho hành trình phía trước.",U,
"Chúng tôi đáp lại sự tin tưởng và đồng hành của quý vị bằng kết quả thực tế, bằng giá trị hữu hình và không ngừng gia tăng.",S,GRI419
"TNG vững tin tiến về phía trước nhanh hơn, đạt đến những mục tiêu cao hơn và luôn đảm bảo tính bền vững.",U,
Kính chúc Quý vị sức khỏe và thành công!,S,GRI403
"Lợi nhuận sau thuế đạt 293 tỷ đồng, tăng 26,14% so với năm 2021.",U,
Trở thành công ty đứng thứ 2 ngành dệt may Việt Nam (tính riêng các doanh nghiệp dệt may trong nước).,U,
"Có được kết quả trên chính là nhờ sự nỗ lực không ngừng nghỉ, sự chung sức đồng lòng của toàn thể CNBV cùng tầm nhìn sáng suốt trong đường lối chiến lược kinh doanh của Ban Lãnh đạo.",S,GRI404-3
"Và cũng nhờ đó, TNG không chỉ nâng tầm vị thế thương hiệu tại thị trường trong nước mà càng hội nhập ngày càng sâu rộng hơn trên thị trường quốc tế.",S,GRI419
